model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
mlp,k-means,0.55,0.533,0.533,0.55,0.187,0.197,0.197,0.187,9.364,0.058,0.786,0.711,0.824,0.805,0.864,0.000133,latent,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002080202102661133,0.2597353458404541
naive_bayes,k-means,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,6.13,0.001,0.725,0.562,0.663,0.611,0.751,2e-06,latent,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002080202102661133,0.2597353458404541
knn,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,6.705,0.001,0.708,0.668,0.808,0.792,0.797,8e-06,latent,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002080202102661133,0.2597353458404541
xgb,k-center,0.7,0.687,0.687,0.7,0.1,0.093,0.093,0.1,9.462,0.539,0.832,0.783,0.877,0.868,0.816,1.7e-05,original,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002170562744140625,0.05066680908203125
rf,k-center,0.55,0.52,0.52,0.55,0.245,0.261,0.261,0.245,18.873,0.466,0.496,0.23,0.208,0.231,0.681,3.3e-05,original,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002170562744140625,0.05066680908203125
svc,k-center,0.55,0.413,0.413,0.55,0.1,0.16,0.16,0.1,6.584,0.002,0.498,0.135,0.043,0.155,0.5,3e-06,original,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002170562744140625,0.05066680908203125
logreg,k-center,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,4.033,0.007,0.483,0.143,0.062,0.159,0.616,0.0,original,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002170562744140625,0.05066680908203125
mlp,k-center,0.35,0.293,0.293,0.35,0.255,0.244,0.244,0.255,7.721,0.023,0.53,0.302,0.319,0.303,0.615,6.8e-05,original,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002170562744140625,0.05066680908203125
naive_bayes,k-center,0.4,0.333,0.333,0.4,0.2,0.207,0.207,0.2,5.321,0.001,0.572,0.399,0.47,0.417,0.55,1e-06,original,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002170562744140625,0.05066680908203125
knn,k-center,0.6,0.573,0.573,0.6,0.3,0.32,0.32,0.3,8.027,0.001,0.473,0.147,0.072,0.161,0.503,0.000107,original,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002170562744140625,0.05066680908203125
